"id";"produto";"cod";"cod25";"unid";"material";"tipo";"cme";"ordem"
"342";"CATETER CENTRAL MONOLUMEN 18";"1978";"0";"0";"0";"1";"0";"100"
"343";"FRASCO SELO D'ÁGUA DE DRENO DE TÓRAX";"4906";"0";"0";"0";"1";"0";"101"
"344";"EXTENSOR FOTOSSENSÍVEL PARA PERFUSÃO";"3118";"0";"0";"0";"1";"0";"129"
"345";"TORNIQUETE MILITAR (INFORMAR MOTIVO)";"2022";"0";"0";"0";"2";"0";"134"
"346";"FLUXÔMETRO FÊMEA PARA O2";"3126";"0";"0";"0";"2";"0";"138"
"347";"FLUXÔMETRO DIGITAL";"2464";"0";"0";"0";"2";"0";"139"
"348";"CINTO PARA MACA (INFORMAR MOTIVO)";"3106";"0";"0";"0";"2";"0";"142"
"350";"ÁGUA SANITÁRIA 1 L";"4103";"0";"0";"2";"1";"0";"205"
"351";"RODO";"285";"0";"0";"2";"2";"0";"220"
"352";"TRINCHA";"298";"0";"0";"2";"2";"0";"223"
"353";"SILICONE EM GEL 500 GR AUTOMOTIVO";"4110";"0";"0";"2";"2";"0";"225"
"354";"GLICOSÍMETRO (INFORMAR MOTIVO)";"54";"0";"0";"0";"1";"0";"155"
"355";"EBULIDOR  (INFORMAR MOTIVO)";"409";"0";"0";"1";"2";"0";"158"
